food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R101-008000801-0000,멥쌀_쌀눈_생것,100g,441,20.27,26.11,36.81,11.91,농진청
R101-008000849-0000,멥쌀_쌀눈_찐것,100g,152,6.96,8.95,12.74,4.08,농진청
R101-008000858-0000,멥쌀_쌀눈_볶은것,100g,468,21.74,27.77,38.97,12.67,농진청
R101-038210301-0000,찹쌀_칼슘쌀_생것,100g,361,7.09,1.00,77.37,0.09,농진청
R101-050210300-0000,찹쌀밥_칼슘쌀_생것,100g,170,3.39,0.62,36.03,0,농진청
R105-014030050-0000,밥_옥광_구운것,100g,175,3.72,0.73,38.31,8.23,농진청
R106-004010046-0000,갓_돌산갓_삶은것,100g,19,2.17,0.40,2.90,0.72,농진청
R106-004010049-0000,갓_돌산갓_찐것,100g,20,2.31,0.39,3.08,0.74,농진청
R106-039000046-0000,달래_삶은것,100g,58,2.23,0.31,14.09,1.27,농진청
R106-043002601-0000,더덕_순_생것,100g,47,2.23,0.85,9.58,1.68,농진청
R106-043002647-0000,더덕_순_데친것,100g,35,1.83,0.55,7.13,0.61,농진청
R106-044002601-0000,도라지_순_생것,100g,51,2.38,0.84,10.69,1.81,농진청
R106-044002647-0000,도라지_순_데친것,100g,41,1.96,0.63,8.81,1.08,농진청
R106-068007802-0000,무시래기_잎_말린것,100g,249,18.46,5.04,45.41,9.74,농진청
R106-071007691-0000,무말랭이_뿌리_말린것을 불린것,100g,49,1.78,0.25,10.97,3.78,농진청
R106-077030049-0000,미나리_물미나리_찐것,100g,19,1.63,0.23,3.66,1.10,농진청
R106-086000049-0000,방울다다기양배추_찐것,100g,44,4.02,0.35,8.74,3.30,농진청
R106-087060001-0000,배추_알배기_생것,100g,15,1.46,0.09,2.99,2.11,농진청
R106-087060046-0000,배추_알배기_삶은것,100g,17,1.64,0.13,3.27,2.12,농진청
R106-087060049-0000,배추_알배기_찐것,100g,18,1.76,0.11,3.69,1.99,농진청
R106-132000049-0000,양파_찐것,100g,31,1.08,0.18,6.97,4.39,농진청
R106-132020047-0000,양파_자색양파_데친것,100g,27,0.88,0.10,6.23,5.02,농진청
R106-238000001-0000,배추우거지_생것,100g,18,1.35,0.14,3.71,1.81,농진청
R106-238000046-0000,배추우거지_삶은것,100g,18,1.26,0.21,3.66,0.39,농진청
R106-101143649-0000,상추_완전결구상추(양상추)_청상추_찐것,100g,15,0.87,0.09,3.51,1.77,농진청
R106-129000046-0000,양배추_삶은것,100g,19,0.80,0.10,4.52,2.79,농진청
R106-129010046-0000,양배추_적양배추_삶은것,100g,26,2.21,0.16,5.51,3.04,농진청
R106-129010049-0000,양배추_적양배추_찐것,100g,32,2.34,0.19,6.80,3.91,농진청
R106-177020004-0000,취나물_미역취_삶아서 말린것,100g,271,15.22,4.21,55.54,3.28,농진청
R106-177020085-0000,취나물_미역취_삶아서 말린것을 삶은것,100g,39,2.34,0.71,7.74,0.07,농진청
R106-178030001-0000,치커리_적치콘_생것,100g,13,1.26,0.14,2.52,0.24,농진청
R106-191030046-0000,파_쪽파_삶은것,100g,31,1.71,0.17,7.27,2.74,농진청
R107-023000051-0000,큰느타리버섯(새송이버섯)_구운것(팬),100g,28,3.94,0.37,9.26,0,농진청
R107-025000051-0000,팽이버섯_구운것(팬),100g,29,3.39,0.77,9.22,0,농진청
R107-027007151-0000,표고버섯_전체_구운것(팬),100g,25,3.12,0.78,7.56,0,농진청
R108-001050001-0000,감_단감+부유_생것,100g,56,0.40,0.12,14.91,10.92,농진청
R108-001060001-0000,감_단감+서촌조생_생것,100g,62,0.43,0.13,16.59,12.18,농진청
R108-001070001-0000,감_단감+차랑_생것,100g,57,0.36,0.12,15.25,12.05,농진청
R108-001080001-0000,감_단감+태추_생것,100g,52,0.33,0.11,13.77,10.52,농진청
R108-001090001-0000,감_연시+월하시_생것,100g,76,0.61,0.08,20.43,15.62,농진청
R108-001100001-0000,감_연시+청도반시_생것,100g,62,0.44,0.09,16.61,11.23,농진청
R108-005010002-0000,감말랭이_갑주백목_말린것,100g,255,1.94,0.16,68.58,31.42,농진청
R108-005020002-0000,감말랭이_청도반시_말린것,100g,217,1.71,0.08,58.56,27.50,농진청
R108-019040001-0000,딸기_죽향_생것,100g,34,0.88,0.14,8.41,6.11,농진청
R108-019050001-0000,딸기_킹스베리_생것,100g,31,0.63,0.14,7.71,5.70,농진청
R108-092000049-0000,파인애플_찐것,100g,51,0.52,0.06,13.61,11.15,농진청
R108-092000051-0000,파인애플_구운것(팬),100g,62,0.35,0.07,16.67,13.88,농진청
R108-010000101-0000,귤_착즙,100g,35,0.59,0.11,8.86,6.37,농진청
R108-069000101-0000,오렌지_착즙,100g,32,0.59,0.05,8.17,5.39,농진청
R108-084000101-0000,자몽(그레이프프루트)_착즙,100g,31,0.48,0.05,8.16,5.68,농진청
R101-001010101-0000,귀리_겉귀리_도정_생것,100g,388,9.88,8.84,68.03,0.92,농진청
R101-001020101-0000,귀리_쌀귀리_도정_생것,100g,371,13.41,3.69,70.00,0.61,농진청
R101-001030101-0000,귀리_쌀귀리+대양_도정_생것,100g,386,11.51,8.78,66.10,0.91,농진청
R101-001040101-0000,귀리_쌀귀리+조양_도정_생것,100g,390,10.78,9.01,67.23,0.91,농진청
R101-003000101-0000,기장_도정_생것,100g,360,11.20,1.90,74.60,,농진청
R101-003010101-0000,기장_찰기장_도정_생것,100g,371,13.63,3.77,69.65,0.46,농진청
R101-003020101-0000,기장_찰기장+이백찰_도정_생것,100g,373,13.72,4.03,69.49,0.61,농진청
R101-003030101-0000,기장_찰기장+한라찰_도정_생것,100g,373,12.80,4.35,69.78,0.61,농진청
R101-003040101-0000,기장_찰기장+황실찰_도정_생것,100g,368,15.55,3.62,67.42,0.61,농진청
R101-004000101-0000,메밀_도정_생것,100g,363,13.64,3.38,67.84,0.30,농진청
R101-004000106-0000,메밀_도정_분말화한것,100g,374,12.96,3.29,71.36,0.30,농진청
R101-005000001-0000,메밀 국수_생것,100g,291,7.59,0.96,61.14,0.00,농진청
R101-005000002-0000,메밀 국수_말린것,100g,372,13.58,1.27,74.41,2.77,농진청
R101-005000046-0000,메밀 국수_삶은것,100g,124,3.54,0.44,25.73,0.00,농진청
R101-005000083-0000,메밀 국수_말린것을 삶은것,100g,114,4.28,0.40,22.65,0.00,농진청
R101-006000002-0000,메밀 냉면_말린것,100g,360,10.74,1.44,73.66,0.00,농진청
R101-006000083-0000,메밀 냉면_말린것을 삶은것,100g,141,4.22,0.59,28.71,0.00,농진청
R101-007000001-0000,메밀묵_생것,100g,54,1.11,0.41,11.77,0,농진청
R101-007000006-0000,메밀묵_분말화한것,100g,371,8.33,2.04,77.39,0.30,농진청
R101-008000201-0000,멥쌀_배아미_생것,100g,343,6.50,2.00,75.80,0.60,농진청
R101-008000301-0000,멥쌀_백미_생것,100g,366,6.81,1.05,78.74,0.50,농진청
R101-008000306-0000,멥쌀_백미_분말화한것,100g,378,7.24,1.07,81.07,0.22,농진청
R101-008000401-0000,멥쌀_칠분도미_생것,100g,348,6.30,1.50,76.60,0.30,농진청
R101-008000501-0000,멥쌀_현미_생것,100g,357,7.33,2.23,75.92,1.18,농진청
R101-008000701-0000,멥쌀_흑미_생것,100g,357,7.70,2.21,75.56,0.94,농진청
R101-008060301-0000,멥쌀_고아미2호_백미_생것,100g,362,8.40,2.04,74.30,1.81,농진청
R101-008060501-0000,멥쌀_고아미2호_현미_생것,100g,359,9.17,4.11,71.00,3.17,농진청
R101-008080401-0000,멥쌀_농림나1호_칠분도미_생것,100g,370,5.60,1.90,79.20,,농진청
R101-008080501-0000,멥쌀_농림나1호_현미_생것,100g,371,5.80,4.80,75.30,,농진청
R101-008100301-0000,멥쌀_밭벼_백미_생것,100g,331,9.30,0.90,74.50,0.30,농진청
R101-008100401-0000,멥쌀_밭벼_칠분도미_생것,100g,359,9.50,1.50,73.40,0.30,농진청
R101-008120301-0000,멥쌀_새추청벼_백미_생것,100g,366,6.10,0.20,80.90,,농진청
R101-008130501-0000,멥쌀_발아현미_현미_생것,100g,384,7.22,2.88,81.18,0.76,농진청
R101-008140301-0000,멥쌀_수라벼_백미_생것,100g,346,5.70,0.10,76.70,,농진청
R101-008180301-0000,멥쌀_일미벼_백미_생것,100g,372,7.70,1.00,79.30,,농진청
R101-008180501-0000,멥쌀_일미벼_현미_생것,100g,354,9.00,1.00,76.20,,농진청
R101-008240301-0000,멥쌀_추청벼_백미_생것,100g,360,6.42,1.03,77.63,0.17,농진청
R101-008240501-0000,멥쌀_추청벼_현미_생것,100g,362,6.40,2.70,76.90,,농진청
R101-008250301-0000,멥쌀_큰눈벼_백미_생것,100g,375,6.30,1.00,81.40,,농진청
R101-008250501-0000,멥쌀_큰눈벼_현미_생것,100g,371,7.30,3.00,77.90,,농진청
R101-008280301-0000,멥쌀_통일벼_백미_생것,100g,375,8.30,0.60,80.30,,농진청
R101-008280501-0000,멥쌀_통일벼_현미_생것,100g,362,8.90,1.60,77.20,,농진청
R101-008300301-0000,멥쌀_하이아미_백미_생것,100g,367,7.35,1.05,78.46,0.43,농진청
R101-008300501-0000,멥쌀_하이아미_현미_생것,100g,360,7.41,2.60,75.73,1.15,농진청
R101-008310301-0000,멥쌀_향미벼_백미_생것,100g,368,7.00,0.60,79.90,,농진청
R101-008340501-0000,멥쌀_흑진주벼_현미_생것,100g,369,7.90,2.60,77.70,,농진청
R101-008350301-0000,멥쌀_히토메보레_백미_생것,100g,364,6.50,0.30,80.00,,농진청
R101-008360301-0000,멥쌀_골든퀸3호_백미_생것,100g,354,6.07,0.67,77.23,0.03,농진청
R101-008360501-0000,멥쌀_골든퀸3호_현미_생것,100g,357,6.16,2.01,77.26,0.50,농진청
R101-008370301-0000,멥쌀_호품벼_백미_생것,100g,354,5.91,0.73,77.21,0.04,농진청
R101-008370501-0000,멥쌀_호품벼_현미_생것,100g,343,6.30,1.94,73.94,0.33,농진청
R101-008380301-0000,멥쌀_금강1호_백미_생것,100g,369,6.69,1.10,79.46,0.82,농진청
R101-008380501-0000,멥쌀_금강1호_현미_생것,100g,365,7.08,2.72,77.11,0.57,농진청
R101-008390301-0000,멥쌀_남찬_백미_생것,100g,366,6.85,1.34,78.14,0.89,농진청
R101-008390501-0000,멥쌀_남찬_현미_생것,100g,355,7.25,2.31,75.26,0.89,농진청
R101-008400301-0000,멥쌀_도담쌀_백미_생것,100g,360,6.97,1.14,76.91,0.31,농진청
R101-008400501-0000,멥쌀_도담쌀_현미_생것,100g,356,7.73,2.85,74.15,1.26,농진청
R101-008410301-0000,멥쌀_미품_백미_생것,100g,361,7.77,0.81,76.89,0.18,농진청
R101-008410501-0000,멥쌀_미품_현미_생것,100g,348,8.41,2.07,73.30,0.83,농진청
R101-008420301-0000,멥쌀_보람찬_백미_생것,100g,370,7.16,1.53,78.36,0.46,농진청
R101-008420501-0000,멥쌀_보람찬_현미_생것,100g,355,7.42,2.01,75.74,1.07,농진청
R101-008430301-0000,멥쌀_삼광_백미_생것,100g,367,6.31,0.90,79.71,0.16,농진청
R101-008430501-0000,멥쌀_삼광_현미_생것,100g,358,6.88,2.00,76.98,0.92,농진청
R101-008440301-0000,멥쌀_새일미_백미_생것,100g,366,6.92,1.04,78.57,0.15,농진청
R101-008440501-0000,멥쌀_새일미_현미_생것,100g,357,7.60,2.12,76.00,1.00,농진청
R101-008450301-0000,멥쌀_설갱_백미_생것,100g,363,6.71,1.04,78.14,0.37,농진청
R101-008450501-0000,멥쌀_설갱_현미_생것,100g,356,7.53,2.34,75.36,1.30,농진청
R101-008460301-0000,멥쌀_신동진_백미_생것,100g,361,6.06,1.09,78.01,0.09,농진청
R101-008460501-0000,멥쌀_신동진_현미_생것,100g,350,6.69,1.98,75.24,0.76,농진청
R101-008470301-0000,멥쌀_알찬미_백미_생것,100g,374,6.02,1.57,80.36,1.03,농진청
R101-008470501-0000,멥쌀_알찬미_현미_생것,100g,365,6.91,2.34,78.09,1.41,농진청
R101-008480301-0000,멥쌀_영호진미_백미_생것,100g,371,5.72,1.54,79.87,0.81,농진청
R101-008480501-0000,멥쌀_영호진미_현미_생것,100g,363,6.21,2.32,78.10,1.28,농진청
R101-008490301-0000,멥쌀_예찬_백미_생것,100g,363,6.60,0.75,78.78,0.76,농진청
R101-008490501-0000,멥쌀_예찬_현미_생것,100g,356,7.23,2.47,75.25,1.81,농진청
R101-008500301-0000,멥쌀_오대_백미_생것,100g,371,7.38,0.93,79.46,0.47,농진청
R101-008500501-0000,멥쌀_오대_현미_생것,100g,363,8.07,2.31,76.53,1.27,농진청
R101-008510301-0000,멥쌀_운광_백미_생것,100g,365,6.20,0.99,79.10,0.22,농진청
R101-008510501-0000,멥쌀_운광_현미_생것,100g,355,6.52,2.28,75.94,1.12,농진청
R101-008520301-0000,멥쌀_일품_백미_생것,100g,367,7.06,1.12,78.52,0.43,농진청
R101-008520501-0000,멥쌀_일품_현미_생것,100g,357,7.00,2.18,76.37,1.13,농진청
R101-008530301-0000,멥쌀_친들_백미_생것,100g,364,6.43,0.77,79.09,0.79,농진청
R101-008530501-0000,멥쌀_친들_현미_생것,100g,353,6.97,1.98,75.80,1.57,농진청
R101-008540301-0000,멥쌀_팔방미_백미_생것,100g,366,8.33,0.94,77.32,0.10,농진청
R101-008540501-0000,멥쌀_팔방미_현미_생것,100g,358,9.12,2.65,73.74,0.47,농진청
R101-008550301-0000,멥쌀_한가루_백미_생것,100g,373,7.11,1.05,80.03,1.42,농진청
R101-008550501-0000,멥쌀_한가루_현미_생것,100g,361,7.92,2.20,76.38,2.15,농진청
R101-008560301-0000,멥쌀_한아름4호_백미_생것,100g,369,7.13,0.88,79.30,1.06,농진청
R101-008560501-0000,멥쌀_한아름4호_현미_생것,100g,363,7.56,2.20,77.23,1.53,농진청
R101-008570301-0000,멥쌀_해담쌀_백미_생것,100g,371,6.65,0.93,80.24,1.17,농진청
R101-008570501-0000,멥쌀_해담쌀_현미_생것,100g,366,7.42,2.44,77.58,1.68,농진청
R101-008580301-0000,멥쌀_해들_백미_생것,100g,365,7.33,1.34,77.39,0.38,농진청
R101-008580501-0000,멥쌀_해들_현미_생것,100g,356,8.06,2.34,74.99,1.24,농진청
R101-008590301-0000,멥쌀_해품_백미_생것,100g,362,8.23,0.56,77.30,0.09,농진청
R101-008590501-0000,멥쌀_해품_현미_생것,100g,349,8.71,1.88,73.53,0.86,농진청
R101-008600501-0000,멥쌀_흑진미_현미_생것,100g,357,7.82,2.11,75.82,1.22,농진청
R101-008610501-0000,멥쌀_적진주_현미_생것,100g,360,7.47,2.48,76.01,1.81,농진청
R101-010000002-0000,멥쌀 국수_말린것,100g,340,9.10,1.50,72.60,,농진청
R101-013000003-0000,멥쌀밥_쪄서 말린것,100g,373,5.20,0.10,83.70,,농진청
R101-013000300-0000,멥쌀밥_백미,100g,146,2.65,0.33,31.71,0.01,농진청
R101-013000400-0000,멥쌀밥_칠분도미,100g,160,2.60,0.50,36.70,0.20,농진청
R101-013000500-0000,멥쌀밥_현미,100g,166,3.47,0.96,35.34,0.40,농진청
R101-013001100-0000,멥쌀밥_누룽지,100g,393,6.80,0.20,86.80,,농진청
R101-013010300-0000,멥쌀밥_농림나1호_백미,100g,213,2.20,0.10,48.50,,농진청
R101-013010500-0000,멥쌀밥_농림나1호_현미,100g,201,2.80,0.20,46.10,,농진청
R101-013020300-0000,멥쌀밥_밭벼_백미,100g,157,3.50,0.30,36.10,0.10,농진청
R101-013020500-0000,멥쌀밥_밭벼_현미,100g,156,4.10,1.00,34.30,1.10,농진청
R101-013030300-0000,멥쌀밥_새추청벼_백미,100g,153,2.50,0.10,33.80,,농진청
R101-013040300-0000,멥쌀밥_수라벼_백미,100g,159,2.40,,35.70,,농진청
R101-013050300-0000,멥쌀밥_일품벼_백미,100g,156,2.60,0.10,34.60,,농진청
R101-013060300-0000,멥쌀밥_추청벼_백미,100g,151,2.40,,33.70,,농진청
R101-013060500-0000,멥쌀밥_흑진미_현미,100g,174,3.98,1.01,36.83,0.50,농진청
R101-013070300-0000,멥쌀밥_삼광_백미,100g,146,2.52,0.33,31.71,0.00,농진청
R101-013070500-0000,멥쌀밥_삼광_현미,100g,165,3.50,1.15,34.83,0.38,농진청
R101-013080300-0000,멥쌀밥_새일미_백미,100g,142,2.67,0.25,30.69,0.00,농진청
R101-013080400-0000,멥쌀밥_농림나1호_칠분도미,100g,205,2.50,0.20,46.20,,농진청
R101-013080500-0000,멥쌀밥_새일미_현미,100g,172,3.43,1.08,36.67,0.41,농진청
R101-013090300-0000,멥쌀밥_신동진_백미,100g,147,2.53,0.28,32.17,0.00,농진청
R101-013090500-0000,멥쌀밥_신동진_현미,100g,160,3.15,0.76,34.57,0.26,농진청
R101-013100300-0000,멥쌀밥_오대_백미,100g,151,2.85,0.44,32.28,0.04,농진청
R101-013100400-0000,멥쌀밥_밭벼_칠분도미,100g,155,3.60,0.50,35.70,0.20,농진청
R101-013100500-0000,멥쌀밥_오대_현미,100g,166,3.81,0.87,35.29,0.53,농진청
R101-016000101-0000,밀_도정_생것,100g,333,10.60,1.00,75.80,,농진청
R101-016001301-0000,밀_통밀_생것,100g,342,13.20,1.50,74.60,,농진청
R101-016010006-0000,밀_강력밀가루_분말화한것,100g,334,13.59,1.11,72.89,0.00,농진청
R101-016020101-0000,밀_금강밀_도정_생것,100g,329,13.06,1.28,71.70,0.00,농진청
R101-016040006-0000,밀_박력밀가루_분말화한것,100g,374,9.15,0.94,77.73,0.00,농진청
R101-016070101-0000,밀_신미찰밀_도정_생것,100g,334,11.30,1.60,74.20,,농진청
R101-016080006-0000,밀_중력밀가루_분말화한것,100g,375,10.34,1.01,76.64,0.00,농진청
R101-016100006-0000,밀_통밀가루_분말화한것,100g,347,13.73,2.20,73.77,1.23,농진청
R101-016130101-0000,밀_흑밀_도정_생것,100g,328,12.90,0.90,72.50,,농진청
R101-016141906-0000,밀_카무트_수입산(미국산)_분말화한것,100g,334,13.74,1.91,71.16,4.37,농진청
R101-018000001-0000,국수_생것,100g,291,7.25,0.87,60.09,7.39,농진청
R101-018000002-0000,국수_말린것,100g,368,10.38,1.24,74.41,2.57,농진청
R101-018000083-0000,국수_말린것을 삶은것,100g,123,3.55,0.44,24.70,0.00,농진청
R101-018010002-0000,국수_소면_말린것,100g,370,10.36,1.27,74.88,1.93,농진청
R101-018010083-0000,국수_소면_말린것을 삶은것,100g,126,3.55,0.48,25.36,0.00,농진청
R101-018020001-0000,국수_우동_생것,100g,152,3.15,1.25,30.47,0.34,농진청
R101-018020046-0000,국수_우동_삶은것,100g,131,2.85,0.46,27.30,0.27,농진청
R101-018040001-0000,국수_중국국수_생것,100g,249,8.60,1.20,55.70,1.00,농진청
R101-018040046-0000,국수_중국국수_삶은것,100g,133,4.90,0.60,29.20,0.10,농진청
R101-018050002-0000,국수_중면_말린것,100g,366,10.40,1.21,73.94,3.21,농진청
R101-018050083-0000,국수_중면_말린것을 삶은것,100g,120,3.55,0.40,24.04,0.00,농진청
R101-018060002-0000,국수_쫄면_말린것,100g,348,9.16,1.08,71.29,4.50,농진청
R101-018070001-0000,국수_칼국수_생것,100g,303,7.25,0.87,63.02,0.00,농진청
R101-018070005-0000,국수_칼국수_반정도 말린것,100g,281,6.40,1.40,57.50,,농진청
R101-018070046-0000,국수_칼국수_삶은것,100g,140,3.49,0.43,28.98,0.00,농진청
R101-024010002-0000,파스타_마카로니_말린것,100g,380,12.20,0.40,77.10,,농진청
R101-024010083-0000,파스타_마카로니_말린것을 삶은것,100g,126,3.80,0.20,25.80,,농진청
R101-024020002-0000,파스타_스파게티_말린것,100g,365,11.78,1.28,76.64,1.39,농진청
R101-024020083-0000,파스타_스파게티_말린것을 삶은것,100g,129,3.80,0.00,26.90,,농진청
R101-025000006-0000,보리_분말화한것,100g,357,11.16,1.83,76.48,0.30,농진청
R101-025000058-0000,보리_볶은것,100g,360,12.70,2.60,74.10,,농진청
R101-025007306-0000,보리_껍질 포함_분말화한것,100g,364,10.95,2.99,76.09,0.00,농진청
R101-025010101-0000,보리_겉보리_도정_생것,100g,349,8.75,1.67,76.89,0.92,농진청
R101-025010601-0000,보리_겉보리_조곡_생것,100g,347,11.01,2.37,72.84,1.42,농진청
R101-025011500-0000,보리_겉보리_압맥,100g,343,8.74,1.66,75.38,0.10,농진청
R101-025011600-0000,보리_겉보리_할맥,100g,354,9.30,1.67,77.71,1.62,농진청
R101-025020101-0000,보리_두산8호_도정_생것,100g,352,10.00,1.00,78.00,,농진청
R101-025030006-0000,보리_미숫가루_분말화한것,100g,412,14.36,5.30,76.69,1.16,농진청
R101-025040101-0000,보리_서둔찰보리_도정_생것,100g,354,9.70,1.10,78.50,,농진청
R101-025050101-0000,보리_쌀보리_도정_생것,100g,341,8.66,1.66,75.04,0.51,농진청
R101-025060002-0000,보리_엿기름_말린것,100g,358,14.65,2.71,71.68,10.24,농진청
R101-025070101-0000,보리_찰보리_도정_생것,100g,346,11.87,2.15,72.29,0.50,농진청
R101-025071600-0000,보리_찰보리_할맥,100g,362,8.50,1.00,82.00,,농진청
R101-025080101-0000,보리_늘보리_도정_생것,100g,346,9.79,1.77,75.08,0.50,농진청
R101-025090101-0000,보리_누리찰_도정_생것,100g,340,8.89,1.57,74.77,0.57,농진청
R101-025100101-0000,보리_호강_도정_생것,100g,341,7.80,1.59,75.91,0.46,농진청
R101-025110101-0000,보리_큰알보리1호_도정_생것,100g,345,8.13,1.75,76.39,0.72,농진청
R101-025110601-0000,보리_큰알보리1호_조곡_생것,100g,345,10.39,2.41,72.85,1.43,농진청
R101-025120101-0000,보리_흑수청찰_도정_생것,100g,352,9.38,1.60,77.39,1.11,농진청
R101-025120601-0000,보리_흑수청찰_조곡_생것,100g,349,11.64,2.34,72.82,1.42,농진청
R101-026010000-0000,보리밥_쌀보리,100g,144,3.58,0.73,31.72,0.08,농진청
R101-026020000-0000,보리밥_누리찰,100g,142,3.77,0.72,30.99,0.08,농진청
R101-026030000-0000,보리밥_호강,100g,146,3.39,0.73,32.45,0.08,농진청
R101-026040000-0000,보리밥_겉보리,100g,144,3.55,0.70,31.79,0.37,농진청
R101-026050000-0000,보리밥_큰알보리1호,100g,138,3.17,0.65,30.60,0.22,농진청
R101-026060000-0000,보리밥_흑수청찰,100g,150,3.93,0.75,32.97,0.53,농진청
R101-027000101-0000,수수_도정_생것,100g,374,11.67,3.01,73.63,0.46,농진청
R101-027001701-0000,수수_통수수_생것,100g,360,10.50,3.10,76.50,,농진청
R101-027010101-0000,수수_찰수수_도정_생것,100g,368,10.94,3.17,72.54,0.75,농진청
R101-027030101-0000,수수_찰수수+남풍찰_도정_생것,100g,378,11.03,3.67,74.03,0.68,농진청
R101-027040101-0000,수수_찰수수+소담찰_도정_생것,100g,376,12.73,3.02,73.19,0.66,농진청
R101-030000006-0000,옥수수_분말화한것,100g,364,7.32,0.97,83.30,0.54,농진청
R101-030020001-0000,옥수수_단옥수수_생것,100g,118,4.01,1.50,23.39,4.91,농진청
R101-030020046-0000,옥수수_단옥수수_삶은것,100g,118,3.99,1.47,23.53,4.20,농진청
R101-030020049-0000,옥수수_단옥수수_찐것,100g,135,4.20,0.70,29.10,,농진청
R101-030030001-0000,옥수수_메옥수수_생것,100g,178,5.34,2.06,36.26,0.31,농진청
R101-030030002-0000,옥수수_메옥수수_말린것,100g,358,9.94,3.83,74.12,1.94,농진청
R101-030030046-0000,옥수수_메옥수수_삶은것,100g,173,5.11,2.19,34.89,0.29,농진청
R101-030030050-0000,옥수수_메옥수수_구운것,100g,372,8.90,3.90,78.30,,농진청
R101-030070001-0000,옥수수_찰옥수수_생것,100g,141,4.79,1.40,28.96,3.42,농진청
R101-030070002-0000,옥수수_찰옥수수_말린것,100g,371,11.50,4.60,74.70,,농진청
R101-030070046-0000,옥수수_찰옥수수_삶은것,100g,136,4.72,1.48,27.42,2.62,농진청
R101-030070049-0000,옥수수_찰옥수수_찐것,100g,132,6.60,1.40,25.40,,농진청
R101-030100002-0000,옥수수_강다옥_말린것,100g,361,9.82,4.46,73.68,1.32,농진청
R101-030110002-0000,옥수수_광평옥_말린것,100g,358,9.73,4.69,72.54,1.41,농진청
R101-030120002-0000,옥수수_다안옥_말린것,100g,356,10.25,4.28,72.49,1.54,농진청
R101-030130002-0000,옥수수_다평옥_말린것,100g,359,9.02,3.64,75.32,2.13,농진청
R101-030140002-0000,옥수수_신광옥_말린것,100g,354,9.79,3.06,74.78,1.70,농진청
R101-030150002-0000,옥수수_신황옥_말린것,100g,357,10.22,3.62,74.14,2.51,농진청
R101-030160002-0000,옥수수_안다옥_말린것,100g,356,10.25,3.41,74.30,2.27,농진청
R101-030170002-0000,옥수수_양안옥_말린것,100g,358,9.56,3.61,74.98,1.72,농진청
R101-030180002-0000,옥수수_장다옥_말린것,100g,357,11.00,3.76,73.36,2.26,농진청
R101-030190002-0000,옥수수_창다옥_말린것,100g,360,8.93,3.47,75.96,1.79,농진청
R101-030200002-0000,옥수수_청안옥_말린것,100g,360,9.11,3.80,75.29,2.40,농진청
R101-030210002-0000,옥수수_평강옥_말린것,100g,359,9.45,3.54,75.30,2.16,농진청
R101-030220002-0000,옥수수_평안옥_말린것,100g,358,11.77,4.61,71.24,2.26,농진청
R101-030230002-0000,옥수수_황다옥_말린것,100g,358,10.32,3.65,74.27,1.64,농진청
R101-030240001-0000,옥수수_고당옥_생것,100g,108,3.87,1.24,21.61,4.58,농진청
R101-030240046-0000,옥수수_고당옥_삶은것,100g,112,3.93,1.20,22.64,4.42,농진청
R101-030250001-0000,옥수수_고당옥1호_생것,100g,108,3.91,1.09,21.82,6.07,농진청
R101-030250046-0000,옥수수_고당옥1호_삶은것,100g,108,4.14,1.33,21.25,3.61,농진청
R101-030260001-0000,옥수수_단옥3호_생것,100g,137,4.26,2.15,26.74,4.09,농진청
R101-030260046-0000,옥수수_단옥3호_삶은것,100g,134,3.91,1.89,26.71,4.57,농진청
R101-030270001-0000,옥수수_대학_생것,100g,164,4.79,1.62,34.02,3.42,농진청
R101-030270046-0000,옥수수_대학_삶은것,100g,140,4.22,1.42,28.85,2.62,농진청
R101-030280001-0000,옥수수_일미찰_생것,100g,126,5.12,1.25,25.18,3.53,농진청
R101-030280046-0000,옥수수_일미찰_삶은것,100g,129,5.14,1.37,25.69,2.83,농진청
R101-030290001-0000,옥수수_찰옥4호_생것,100g,162,4.63,1.51,33.96,3.74,농진청
R101-030290046-0000,옥수수_찰옥4호_삶은것,100g,156,4.73,1.90,31.65,3.06,농진청
R101-030300001-0000,옥수수_항금맛찰_생것,100g,114,4.62,1.21,22.68,2.98,농진청
R101-030300046-0000,옥수수_항금맛찰_삶은것,100g,118,4.78,1.24,23.48,1.98,농진청
R101-032000000-0000,옥수수묵,100g,55,1.10,0.00,12.60,,농진청
R101-033010000-0000,옥수수 샐러드_콘샐러드,100g,104,3.20,0.20,22.40,,농진청
R101-034000101-0000,율무_도정_생것,100g,377,15.40,3.20,70.50,,농진청
R101-037000101-0000,조_메조_도정_생것,100g,373,11.48,3.91,71.70,0.71,농진청
R101-037000149-0000,조_메조_도정_찐것,100g,115,3.14,1.13,22.71,0.00,농진청
R101-037010101-0000,조_차조_도정_생것,100g,370,10.95,3.85,71.69,0.89,농진청
R101-037020101-0000,조_메조+다황메_도정_생것,100g,374,11.13,3.96,72.30,0.71,농진청
R101-037030101-0000,조_메조+단아메_도정_생것,100g,372,13.45,4.17,69.16,0.68,농진청
R101-037040101-0000,조_메조+삼다메_도정_생것,100g,372,10.78,3.74,72.57,0.79,농진청
R101-037050101-0000,조_메조+조황메_도정_생것,100g,373,11.33,4.00,71.68,0.89,농진청
R101-037060101-0000,조_차조+경관1호_도정_생것,100g,376,10.74,3.82,73.50,0.75,농진청
