food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-141014001-1200,병어_육_생것_부산_5월,100g,130,16.40,6.30,0.29,0.29,수산과학원
R211-143054001-0010,보구치(26cm미만)_육_생것_대표_10월,100g,105,19.04,2.62,0.00,,수산과학원
R211-143054001-0011,보구치(26cm미만)_육_생것_대표_11월,100g,95,18.92,1.35,0.64,,수산과학원
R211-143054001-0012,보구치(26cm미만)_육_생것_대표_12월,100g,93,19.54,1.17,0.00,,수산과학원
R211-143054001-0001,보구치(26cm미만)_육_생것_대표_1월,100g,105,18.56,2.80,0.00,,수산과학원
R211-143054001-0002,보구치(26cm미만)_육_생것_대표_2월,100g,109,18.48,3.33,0.00,,수산과학원
R211-143054001-0003,보구치(26cm미만)_육_생것_대표_3월,100g,118,18.44,4.32,0.00,,수산과학원
R211-143054001-0004,보구치(26cm미만)_육_생것_대표_4월,100g,109,18.52,2.21,2.44,,수산과학원
R211-143054001-0005,보구치(26cm미만)_육_생것_대표_5월,100g,138,18.90,6.23,0.00,,수산과학원
R211-143054001-0006,보구치(26cm미만)_육_생것_대표_6월,100g,109,19.73,2.68,0.02,,수산과학원
R211-143054001-0007,보구치(26cm미만)_육_생것_대표_7월,100g,105,19.52,2.43,0.00,,수산과학원
R211-143054001-0008,보구치(26cm미만)_육_생것_대표_8월,100g,95,18.79,1.65,0.00,,수산과학원
R211-143054001-0009,보구치(26cm미만)_육_생것_대표_9월,100g,110,20.04,2.70,0.00,,수산과학원
R211-143034001-0010,보구치(26cm이상)_육_생것_대표_10월,100g,96,19.27,1.54,0.00,,수산과학원
R211-143034001-0011,보구치(26cm이상)_육_생것_대표_11월,100g,92,19.63,1.00,0.00,,수산과학원
R211-143034001-0012,보구치(26cm이상)_육_생것_대표_12월,100g,98,19.92,1.49,0.00,,수산과학원
R211-143034001-0001,보구치(26cm이상)_육_생것_대표_1월,100g,101,19.13,2.15,0.00,,수산과학원
R211-143034001-0002,보구치(26cm이상)_육_생것_대표_2월,100g,112,19.35,3.25,0.00,,수산과학원
R211-143034001-0003,보구치(26cm이상)_육_생것_대표_3월,100g,122,19.23,4.39,0.00,,수산과학원
R211-143034001-0004,보구치(26cm이상)_육_생것_대표_4월,100g,126,18.71,5.04,0.00,,수산과학원
R211-143034001-0005,보구치(26cm이상)_육_생것_대표_5월,100g,107,20.06,2.42,0.00,,수산과학원
R211-143034001-0006,보구치(26cm이상)_육_생것_대표_6월,100g,104,19.19,2.22,0.54,,수산과학원
R211-143034001-0007,보구치(26cm이상)_육_생것_대표_7월,100g,105,19.25,2.51,0.00,,수산과학원
R211-143034001-0008,보구치(26cm이상)_육_생것_대표_8월,100g,106,19.56,2.54,0.00,,수산과학원
R211-143034001-0009,보구치(26cm이상)_육_생것_대표_9월,100g,102,20.19,1.79,0.00,,수산과학원
R211-143014050-0903,보구치_육_구운것_통영_7월,100g,204,31.10,7.71,0.01,,수산과학원
R211-143014001-0010,보구치_육_생것_대표_10월,100g,202,20.27,2.67,0.00,,수산과학원
R211-143014001-0011,보구치_육_생것_대표_11월,100g,192,19.77,1.33,0.00,,수산과학원
R211-143014001-0012,보구치_육_생것_대표_12월,100g,186,19.06,1.62,0.00,,수산과학원
